year,population,gdp,primary_energy_consumption,oil_co2,coal_co2,cement_co2,temperature_change_from_ghg,co2
1953,4706358,7707442688,17.105,0.191,0.07,0.015,0.001,0.275
1954,4766716,7494946304,17.105,0.25,0.076,0.022,0.001,0.348
1955,4832774,8094498304,17.105,0.293,0.084,0.036,0.001,0.414
1956,4904275,7944564736,17.105,0.418,0.04,0.044,0.001,0.502
1957,4980651,8703076352,17.105,0.473,0.081,0.065,0.001,0.619
1958,5061138,9169780736,17.105,0.465,0.044,0.084,0.001,0.593
1959,5145106,9207761920,17.105,0.487,0.055,0.076,0.001,0.619
1960,5231664,9580296192,17.105,0.346,0.124,0.079,0.001,0.549
1961,5301584,10574287872,17.105,0.314,0.063,0.077,0.002,0.454
1962,5354314,10269759488,17.105,1.004,0.091,0.083,0.002,1.179
1963,5408335,10823089152,17.105,1.033,0.022,0.094,0.002,1.15
1964,5464187,12097687552,17.105,1.041,0.077,0.105,0.002,1.223
1965,5521983,13062976512,17.105,1.011,0.055,0.12,0.002,1.186
1966,5581392,13762507776,17.105,1.334,0.088,0.131,0.002,1.552
1967,5641809,14446281728,17.105,0.799,0.055,0.138,0.002,0.992
1968,5702705,14258772992,17.105,1.415,0.102,0.152,0.002,1.67
1969,5763693,14746072064,17.105,2.502,0.092,0.189,0.002,2.783
1970,5852791,15796654080,17.105,1.742,0.048,0.221,0.002,3.578
1971,5991114,15843643392,17.105,1.643,0.029,0.261,0.002,3.405
1972,6174269,16088033280,17.105,2.475,0.007,0.309,0.002,4.501
1973,6388534,17187186688,17.105,2.51,0.022,0.382,0.002,4.874
1974,6613370,16327890944,17.105,2.449,0,0.374,0.002,4.866
1975,6842951,10064128000,17.105,2.18,0,0.323,0.002,4.409
1976,7074668,9040012288,17.105,1.935,0,0.147,0.002,3.28
1977,7317836,9245571072,17.105,1.074,0,0.146,0.002,3.528
1978,7576742,9619385344,17.105,2.678,0,0.19,0.002,5.4
1979,7847208,9853037568,17.105,2.77,0,0.187,0.002,5.489
1980,8133868,10330398720,17.105,2.658,0,0.113,0.002,5.334
1981,8435604,10119853056,16.958,2.763,0,0.115,0.002,5.267
1982,8751653,9643454464,18.173,2.156,0,0.114,0.002,4.635
1983,9082985,9325808640,19.43,2.535,0,0.099,0.002,5.101
1984,9425922,9370042368,17.553,2.292,0,0.157,0.002,4.986
1985,9779125,9420208128,21.619,1.96,0,0.155,0.002,4.676
1986,10139458,8569987072,21.351,1.869,0,0.153,0.002,4.634
1987,10497864,9540738048,22.02,2.924,0,0.151,0.002,5.786
1988,10861301,10911810560,22.712,1.905,0,0.422,0.002,5.049
1989,11238562,11089227776,21.975,1.745,0,0.416,0.002,4.923
1990,11626359,11482503168,23.331,2.475,0,0.107,0.002,5.09
1991,12023533,12341156864,24.454,2.281,0,0.107,0.002,5.064
1992,12423717,12363420672,24.814,2.29,0,0.123,0.003,5.164
1993,12827135,9985477632,24.361,2.968,0,0.102,0.003,5.748
1994,13249762,10760814592,23.769,3.465,0,0.098,0.003,11.353
1995,13699780,13143770112,25.496,3.012,0,0.081,0.003,12.617
1996,14170973,15819837440,24.504,3.268,0,0.11,0.003,15.249
1997,14660420,17972295680,27.524,3.331,0,0.122,0.003,15.884
1998,15159377,19905044480,24.773,2.763,0,0.142,0.003,16.513
1999,15667234,21527478272,27.651,3.708,0,0.084,0.003,17.261
2000,16194872,23512182784,32.448,3.668,0,0.081,0.003,15.995
2001,16747204,26015021056,35.234,4.302,0,0.221,0.003,15.908
2002,17327701,31389808640,37.546,5.02,0,0.239,0.004,16.08
2003,17943717,35081367552,41.666,6.837,0,0.28,0.004,17.484
2004,18600426,41307234304,46.077,6.108,0,0.3,0.004,17.016
2005,19291161,51967664128,39.23,4.734,0,0.521,0.004,15.387
2006,20015280,66749579264,49.463,7.757,0,0.539,0.004,17.145
2007,20778569,87086358528,56.855,8.801,0,0.542,0.004,17.588
2008,21578655,105593135104,66.637,10.219,0,0.685,0.004,18.75
2009,22414774,115247841280,75.825,12.296,0,0.693,0.005,20.668
2010,23294821,126984183808,83.179,13.37,0,0.578,0.005,22.983
2011,24218358,140477267968,87.199,14.345,0,0.765,0.005,23.397
2012,25177399,152476844032,91.069,17.268,0,1.147,0.005,25.941
2013,26165616,160032079872,101.919,17.441,0,1.557,0.005,25.71
2014,27160766,167750418432,112.177,16.975,0,1.976,0.005,26.09
2015,28157801,169333981184,116.999,16.169,0,2.03,0.005,27.507
2016,29183072,164965171200,106.752,14.172,0,1.5,0.005,25.466
2017,30234837,164717707264,101.83,13.883,0,0.996,0.005,23.595
2018,31297160,162550038528,105.279,15.407,0,1.038,0.005,23.305
2019,32375632,161408925696,118.654,14.29,0,0.957,0.006,22.047
2020,33451140,152308695040,117.908,9.482,0,1.054,0.006,16.533
2021,34532427,153971900416,96.311,12.142,0,1.201,0.006,19.196
2022,35635028,158346248192,96.311,13.584,0,1.201,0.006,20.25
2023,36749907,158346248192,96.311,14.12,0,1.201,0.006,20.781
1950,5022,136328019968,0.625,0.048,0.002,0,0,0.048
1951,5229,136328019968,0.625,0.048,0.002,0,0,0.048
1952,5388,136328019968,0.625,0.048,0.002,0,0,0.048
1953,5522,136328019968,0.625,0.048,0.002,0,0,0.048
1954,5668,136328019968,0.625,0.048,0.002,0,0,0.048
1955,5763,136328019968,0.625,0.048,0.002,0,0,0.048
1956,5801,136328019968,0.625,0.048,0.002,0,0,0.048
1957,5823,136328019968,0.625,0.048,0.002,0,0,0.048
1958,5819,136328019968,0.625,0.048,0.002,0,0,0.048
1959,5800,136328019968,0.625,0.048,0.002,0,0,0.048
1960,5801,136328019968,0.625,0.048,0.002,0,0,0.048
1961,5846,136328019968,0.625,0.048,0.002,0,0,0.048
1962,5899,136328019968,0.625,0.048,0.002,0,0,0.048
1963,5943,136328019968,0.625,0.048,0.002,0,0,0.048
1964,5994,136328019968,0.625,0.048,0.002,0,0,0.048
1965,6040,136328019968,0.625,0.048,0.002,0,0,0.048
1966,6095,136328019968,0.625,0.048,0.002,0,0,0.048
1967,6150,136328019968,0.625,0.048,0.002,0,0,0.048
1968,6207,136328019968,0.625,0.048,0.002,0,0,0.048
1969,6257,136328019968,0.625,0.048,0.002,0,0,0.048
1970,6324,136328019968,0.625,0.048,0.002,0,0,0.048
1971,6376,136328019968,0.625,0.048,0.002,0,0,0.048
1972,6427,136328019968,0.625,0.048,0.002,0,0,0.048
1973,6466,136328019968,0.625,0.048,0.002,0,0,0.048
1974,6502,136328019968,0.625,0.048,0.002,0,0,0.048
1975,6519,136328019968,0.625,0.048,0.002,0,0,0.048
1976,6545,136328019968,0.625,0.048,0.002,0,0,0.048
1977,6567,136328019968,0.625,0.048,0.002,0,0,0.048
1978,6587,136328019968,0.625,0.048,0.002,0,0,0.048
1979,6602,136328019968,0.625,0.048,0.002,0,0,0.048
1980,6612,136328019968,0.625,0.048,0.002,0,0,0.048
1981,6628,136328019968,0.625,0.048,0.002,0,0,0.048
1982,6653,136328019968,0.625,0.048,0.002,0,0,0.048
1983,6672,136328019968,0.625,0.048,0.002,0,0,0.048
1984,6764,136328019968,0.625,0.048,0.002,0,0,0.048
1985,6978,136328019968,0.625,0.048,0.002,0,0,0.048
1986,7245,136328019968,0.625,0.048,0.002,0,0,0.048
1987,7519,136328019968,0.625,0.048,0.002,0,0,0.048
1988,7807,136328019968,0.625,0.048,0.002,0,0,0.048
